"","player_name","batter"
"1","Abrams, CJ",682928
"2","Abreu, José",547989
"3","Acuña Jr., Ronald",660670
"4","Adames, Willy",642715
"5","Adams, Riley",656180
"6","Adell, Jo",666176
"7","Adrianza, Ehire",501303
"8","Aguilar, Jesús",542583
"9","Aguilar, Ryan",666922
"10","Ahmed, Nick",605113
"11","Alberto, Hanser",593643
"12","Albies, Ozzie",645277
"13","Alcántara, Sergio",642727
"14","Alfaro, Jorge",595751
"15","Alford, Anthony",546990
"16","Allen, Austin",664119
"17","Allen, Greg",656185
"18","Allen, Nick",669397
"19","Almonte, Abraham",501659
"20","Almora Jr., Albert",546991
"21","Alonso, Pete",624413
"22","Altuve, Jose",514888
"23","Alvarado, José",621237
"24","Alvarez, Eddy",657193
"25","Álvarez, Francisco",682626
"26","Alvarez, Yordan",670541
"27","Anderson, Brian",605119
"28","Anderson, Tim",641313
"29","Anderson, Tyler",542881
"30","Andrus, Elvis",462101
"31","Andújar, Miguel",609280
"32","Aquino, Aristides",606157
"33","Aranda, Jonathan",666018
"34","Araúz, Jonathan",660620
"35","Arcia, Orlando",606115
"36","Arenado, Nolan",571448
"37","Arias, Gabriel",672356
"38","Arozarena, Randy",668227
"39","Arraez, Luis",650333
"40","Arroyo, Christian",624414
"41","Astudillo, Willians",553902
"42","Azocar, José",640492
"43","Baddoo, Akil",668731
"44","Bader, Harrison",664056
"45","Bae, Ji Hwan",678225
"46","Báez, Javier",595879
"47","Bannon, Rylan",676625
"48","Barnes, Austin",605131
"49","Barnhart, Tucker",571466
"50","Barrera, Luis",642456
"51","Barrera, Tres",668663
"52","Barrero, Jose",676480
"53","Bart, Joey",663698
"54","Batten, Matthew",676946
"55","Baty, Brett",683146
"56","Beaty, Matt",607461
"57","Beckham, Tim",542921
"58","Beer, Seth",666179
"59","Bell, Josh",605137
"60","Bellinger, Cody",641355
"61","Belt, Brandon",474832
"62","Bemboom, Anthony",621532
"63","Benintendi, Andrew",643217
"64","Benson, Will",666181
"65","Bernard, Wynton",592144
"66","Berti, Jon",542932
"67","Bethancourt, Christian",542194
"68","Betts, Mookie",605141
"69","Bichette, Bo",666182
"70","Biggio, Cavan",624415
"71","Blackmon, Charlie",453568
"72","Blanco, Dairon",680118
"73","Blankenhorn, Travis",663905
"74","Bleday, JJ",668709
"75","Bogaerts, Xander",593428
"76","Bohm, Alec",664761
"77","Bolt, Skye",621450
"78","Bote, David",623520
"79","Bouchard, Sean",656248
"80","Bradley Jr., Jackie",598265
"81","Bradley, Bobby",656252
